team_id,name,abbreviation,display_name,short_display_name,nickname,color,logo,conference_uid
44,Eagles,AMER,American University Eagles,American,American,c41130,https://a.espncdn.com/i/teamlogos/ncaa/500/44.png,
9,Sun Devils,ASU,Arizona State Sun Devils,Arizona St,Arizona St,8e0c3a,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,
12,Wildcats,ARIZ,Arizona Wildcats,Arizona,Arizona,0c234b,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png,
8,Razorbacks,ARK,Arkansas Razorbacks,Arkansas,Arkansas,a41f35,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png,
2,Tigers,AUB,Auburn Tigers,Auburn,Auburn,002b5c,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,
91,Knights,BELL,Bellarmine Knights,Bellarmine,Bellarmine,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/91.png,
68,Broncos,BOIS,Boise State Broncos,Boise St,Boise St,0033a0,https://a.espncdn.com/i/teamlogos/ncaa/500/68.png,
71,Braves,BRAD,Bradley Braves,Bradley,Bradley,b70002,https://a.espncdn.com/i/teamlogos/ncaa/500/71.png,
13,Mustangs,CP,Cal Poly Mustangs,Cal Poly,Cal Poly,1E4D2B,https://a.espncdn.com/i/teamlogos/ncaa/500/13.png,
25,Golden Bears,CAL,California Golden Bears,California,California,031522,https://a.espncdn.com/i/teamlogos/ncaa/500/25.png,
38,Buffaloes,COLO,Colorado Buffaloes,Colorado,Colorado,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png,
36,Rams,CSU,Colorado State Rams,Colorado St,Colorado St,1e4d2b,https://a.espncdn.com/i/teamlogos/ncaa/500/36.png,
48,Blue Hens,DEL,Delaware Blue Hens,Delaware,Delaware,033594,https://a.espncdn.com/i/teamlogos/ncaa/500/48.png,
50,Rattlers,FAMU,Florida A&M Rattlers,Florida A&M,Florida A&M,F89728,https://a.espncdn.com/i/teamlogos/ncaa/500/50.png,
57,Gators,FLA,Florida Gators,Florida,Florida,0021a5,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,
52,Seminoles,FSU,Florida State Seminoles,Florida St,Florida St,782f40,https://a.espncdn.com/i/teamlogos/ncaa/500/52.png,
45,Revolutionaries,GW,George Washington Revolutionaries,G Washington,G Washington,002843,https://a.espncdn.com/i/teamlogos/ncaa/500/45.png,
46,Hoyas,GTWN,Georgetown Hoyas,Georgetown,Georgetown,110E42,https://a.espncdn.com/i/teamlogos/ncaa/500/46.png,
61,Bulldogs,UGA,Georgia Bulldogs,Georgia,Georgia,ba0c2f,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,
59,Yellow Jackets,GT,Georgia Tech Yellow Jackets,Georgia Tech,Georgia Tech,003057,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png,
62,Rainbow Warriors,HAW,Hawai'i Rainbow Warriors,Hawai’i,Hawai’i,003420,https://a.espncdn.com/i/teamlogos/ncaa/500/62.png,
47,Bison,HOW,Howard Bison,Howard,Howard,003a63,https://a.espncdn.com/i/teamlogos/ncaa/500/47.png,
85,Jaguars,IUIN,IU Indianapolis Jaguars,IU Indy,IU Indy,A81F30,https://a.espncdn.com/i/teamlogos/ncaa/500/85.png,
70,Vandals,IDHO,Idaho Vandals,Idaho,Idaho,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/70.png,
84,Hoosiers,IU,Indiana Hoosiers,Indiana,Indiana,990000,https://a.espncdn.com/i/teamlogos/ncaa/500/84.png,
66,Cyclones,ISU,Iowa State Cyclones,Iowa State,Iowa State,822433,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png,
55,Gamecocks,JXST,Jacksonville State Gamecocks,Jax State,Jax State,b50500,https://a.espncdn.com/i/teamlogos/ncaa/500/55.png,
96,Wildcats,UK,Kentucky Wildcats,Kentucky,Kentucky,0033a0,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,
97,Cardinals,LOU,Louisville Cardinals,Louisville,Louisville,c9001f,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png,
93,Racers,MUR,Murray State Racers,Murray St,Murray St,002148,https://a.espncdn.com/i/teamlogos/ncaa/500/93.png,
94,Norse,NKU,Northern Kentucky Norse,N Kentucky,N Kentucky,ffc82e,https://a.espncdn.com/i/teamlogos/ncaa/500/94.png,
77,Wildcats,NU,Northwestern Wildcats,Northwestern,Northwestern,582c83,https://a.espncdn.com/i/teamlogos/ncaa/500/77.png,
87,Fighting Irish,ND,Notre Dame Fighting Irish,Notre Dame,Notre Dame,0c2340,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,
16,Hornets,SAC,Sacramento State Hornets,Sacramento St,Sacramento St,00573C,https://a.espncdn.com/i/teamlogos/ncaa/500/16.png,
21,Aztecs,SDSU,San Diego State Aztecs,San Diego St,San Diego St,c41230,https://a.espncdn.com/i/teamlogos/ncaa/500/21.png,
23,Spartans,SJSU,San José State Spartans,San José St,San José St,005893,https://a.espncdn.com/i/teamlogos/ncaa/500/23.png,
6,Jaguars,USA,South Alabama Jaguars,South Alabama,South Alabama,003E7E,https://a.espncdn.com/i/teamlogos/ncaa/500/6.png,
58,Bulls,USF,South Florida Bulls,South Florida,South Florida,004A36,https://a.espncdn.com/i/teamlogos/ncaa/500/58.png,
79,Salukis,SIU,Southern Illinois Salukis,S Illinois,S Illinois,85283D,https://a.espncdn.com/i/teamlogos/ncaa/500/79.png,
24,Cardinal,STAN,Stanford Cardinal,Stanford,Stanford,8c1515,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,
56,Hatters,STET,Stetson Hatters,Stetson,Stetson,0a5640,https://a.espncdn.com/i/teamlogos/ncaa/500/56.png,
5,Blazers,UAB,UAB Blazers,UAB,UAB,054338,https://a.espncdn.com/i/teamlogos/ncaa/500/5.png,
27,Highlanders,UCR,UC Riverside Highlanders,UC Riverside,UC Riverside,14234F,https://a.espncdn.com/i/teamlogos/ncaa/500/27.png,
28,Tritons,UCSD,UC San Diego Tritons,UC San Diego,UC San Diego,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/28.png,
26,Bruins,UCLA,UCLA Bruins,UCLA,UCLA,2774ae,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,
41,Huskies,CONN,UConn Huskies,UConn,UConn,0c2340,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,
82,Flames,UIC,UIC Flames,UIC,UIC,001e62,https://a.espncdn.com/i/teamlogos/ncaa/500/82.png,
30,Trojans,USC,USC Trojans,USC,USC,9e2237,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png,
98,Hilltoppers,WKU,Western Kentucky Hilltoppers,Western KY,Western KY,F32026,https://a.espncdn.com/i/teamlogos/ncaa/500/98.png,
43,Bulldogs,YALE,Yale Bulldogs,Yale,Yale,004a81,https://a.espncdn.com/i/teamlogos/ncaa/500/43.png,
